0,5|||14	14.933859
0,5|||2	14.934282
0,5|||3	15.412687
0,5|||4	13.429409
0,5|||5	14.566963
0,5|||6	15.410459
0,5|||7	14.929189
0,5|||8	15.690034
0,5|||9	15.684158
0,6|||0	10.709989
0,6|||10	15.849784
0,6|||11	15.839345
0,6|||12	15.724815
0,6|||13	13.051729
0,6|||14	15.094267
0,6|||2	15.089681
0,6|||3	15.585307
0,6|||4	13.569232
0,6|||5	15.585307
0,6|||6	14.708041
0,6|||7	15.086701
0,6|||8	15.863722
0,6|||9	15.857812
0,7|||0	10.841408
0,7|||10	15.612475
0,7|||11	15.601133
0,7|||12	15.472561
0,7|||13	12.951355
0,7|||14	14.942622
0,7|||2	14.702254
0,7|||3	15.235542
0,7|||4	13.784080
0,7|||5	15.235542
0,7|||6	15.235542
0,7|||7	14.336432
0,7|||8	15.627683
0,7|||9	15.621229
0,8|||0	12.213238
0,8|||10	17.505127
0,8|||11	17.495077
0,8|||12	17.383664
0,8|||13	14.272375
0,8|||14	16.883218
0,8|||2	16.705906
0,8|||3	17.262148
0,8|||4	15.193978
0,8|||5	17.262148
0,8|||6	17.262148
0,8|||7	16.705906
0,8|||8	16.694148
0,8|||9	17.512831
0,9|||0	12.393368
0,9|||10	17.728140
0,9|||11	17.718413
0,9|||12	17.610340
0,9|||13	14.498293
0,9|||14	17.106296
0,9|||2	16.919678
0,9|||3	17.496123
0,9|||4	15.377560
0,9|||5	17.496123
0,9|||6	17.496123
0,9|||7	16.919678
0,9|||8	17.749849
0,9|||9	16.879800
0|0||10	25.603532
0|0||11	25.561157
0|0||12	25.261254
0|0||13	25.378986
0|0||14	25.050394
0|0||2	24.323635
0|0||3	25.513235
0|0||4	21.031268
0|0||5	25.512106
0|0||6	25.511483
0|0||7	24.311833
0|0||8	25.651461
0|0||9	25.632962
0|10||0	13.513160
0|10||10	17.977377
0|10||11	18.534500
0|10||12	18.223381
0|10||13	16.390787
0|10||14	17.600009
0|10||2	17.807354
0|10||3	18.280915
0|10||4	16.353968
0|10||5	18.280277
0|10||6	18.278723
0|10||7	17.802132
0|10||8	18.583227
0|10||9	18.575688
0|11||0	13.513226
0|11||10	18.541695
0|11||11	17.961729
0|11||12	18.214926
0|11||13	16.387729
0|11||14	17.598034
0|11||2	17.799804
0|11||3	18.269371
0|11||4	16.351915
0|11||5	18.268738
0|11||6	18.267207
0|11||7	17.794765
0|11||8	18.575191
0|11||9	18.569184
0|12||0	12.930257
0|12||10	17.948667
0|12||11	17.901649
0|12||12	17.096881
0|12||13	15.588688
0|12||14	17.048147
0|12||2	17.237388
0|12||3	17.659342
0|12||4	15.884692
0|12||5	17.658808
0|12||6	17.657419
0|12||7	17.233134
0|12||8	17.985445
0|12||9	17.975213
0|13||0	23.989705
0|13||10	32.469793
0|13||11	32.416538
0|13||12	32.132871
0|13||13	32.788428
0|13||14	32.096013
0|13||2	30.618259
0|13||3	32.788699
0|13||4	27.047353
0|13||5	32.783237
0|13||6	32.780276
0|13||7	30.598166
0|13||8	32.534075
0|13||9	32.506836
0|14||0	12.185906
0|14||10	16.974249
0|14||11	16.933636
0|14||12	16.562750
0|14||13	14.351961
0|14||14	15.928072
0|14||2	16.332403
0|14||3	16.520360
0|14||4	15.125010
0|14||5	16.519719
0|14||6	16.518290
0|14||7	16.327636
0|14||8	17.003585
0|14||9	16.996851
0|2||0	12.379844
0|2||10	17.195043
0|2||11	17.168068
0|2||12	16.827989
0|2||13	15.038281
0|2||14	16.377764
0|2||2	15.909674
0|2||3	16.811794
0|2||4	15.361823
0|2||5	16.811222
0|2||6	16.809938
0|2||7	16.326216
0|2||8	17.213853
0|2||9	17.207489
0|3||0	12.324689
0|3||10	17.496512
0|3||11	17.468820
0|3||12	17.134265
0|3||13	15.127482
0|3||14	16.631274
0|3||2	16.693746
0|3||3	16.506655
0|3||4	15.086404
0|3||5	17.202942
0|3||6	17.201681
0|3||7	16.688948
0|3||8	17.517936
0|3||9	17.510660
0|4||0	10.829641
0|4||10	15.568154
0|4||11	15.544355
0|4||12	15.210296
0|4||13	13.494399
0|4||14	14.891183
0|4||2	15.081673
0|4||3	14.933942
0|4||4	13.146598
0|4||5	14.933447
0|4||6	14.932216
0|4||7	15.077442
0|4||8	15.588391
0|4||9	15.581518
0|5||0	12.324232
0|5||10	17.495775
0|5||11	17.468019
0|5||12	17.133630
0|5||13	15.127007
0|5||14	16.630624
0|5||2	16.693140
0|5||3	17.202913
0|5||4	15.085890
0|5||5	16.505623
0|5||6	17.200992
0|5||7	16.688363
0|5||8	17.517274
0|5||9	17.509977
0|6||0	12.321457
0|6||10	17.492618
0|6||11	17.464558
0|6||12	17.130723
0|6||13	15.123314
0|6||14	16.628167
0|6||2	16.690493
0|6||3	17.200270
0|6||4	15.083706
0|6||5	17.199597
0|6||6	16.501915
0|6||7	16.685587
0|6||8	17.514515
0|6||9	17.507065
0|7||0	12.373113
0|7||10	17.186392
0|7||11	17.158604
0|7||12	16.819568
0|7||13	15.030495
0|7||14	16.370783
0|7||2	16.323673
0|7||3	16.803883
0|7||4	15.355949
0|7||5	16.803285
0|7||6	16.801634
0|7||7	15.900119
0|7||8	17.205685
0|7||9	17.199251
0|8||0	13.526677
0|8||10	18.583664
0|8||11	18.554579
0|8||12	18.252950
0|8||13	16.412417
0|8||14	17.623994
0|8||2	17.825831
0|8||3	18.303625
0|8||4	16.369391
0|8||5	18.303004
0|8||6	18.301544
0|8||7	17.820355
0|8||8	18.011919
0|8||9	18.597811
0|9||0	13.519619
0|9||10	18.575839
0|9||11	18.546297
0|9||12	18.242340
0|9||13	16.402111
0|9||14	17.613277
0|9||2	17.817995
0|9||3	18.295047
0|9||4	16.362706
0|9||5	18.294432
0|9||6	18.292969
0|9||7	17.812757
0|9||8	18.595042
0|9||9	17.998525
0||0|10	33.329973
0||0|11	33.313201
0||0|12	32.769356
0||0|13	29.560645
0||0|14	31.445607
0||0|2	33.060950
0||0|3	33.535559
0||0|4	33.058551
0||0|5	33.534578
0||0|6	33.532855
0||0|7	33.051565
0||0|8	33.353701
0||0|9	33.344441
0||10|0	-9.000000
0||10|10	-8.962285
0||10|11	-8.961431
0||10|12	-8.961431
0||10|13	-9.000000
0||10|14	-8.961761
0||10|2	-8.961340
0||10|3	-8.962044
0||10|4	-8.961337
0||10|5	-8.962278
0||10|6	-8.962278
0||10|7	-8.961337
0||10|8	-8.961341
0||10|9	-8.961344
0||11|0	-9.000000
0||11|10	-8.961431
0||11|11	-8.962285
0||11|12	-8.961431
0||11|13	-9.000000
0||11|14	-8.961761
